"id","company","website_evidence","country","category","observed_service","fit_reason_inference","public_contact_channel","public_role","fit","outreach_angle","status","last_contact","next_action","researched_at"
"P01","Who Develop","https://whodevelop.com/","UK","Web3 consultancy","Wallet connections and cross-chain product engineering","Existing Next.js/Web3 workflows align with a licensed swap integration pilot.","contact@whodevelop.com","Sebastien Bramille; director/technical lead","HIGH","Reuse the app-layer review/history flow for Next.js/Web3 client projects; do not pitch replacement LI.FI routing.","RESEARCHED","","Verify legal entity/contact permissions and an active project before outreach","2026-09-24"
"P02","Bytez3","https://www.bytez3.com/","UK","Web3 studio","EVM/Solana DeFi and React Native wallet-adapter development","Client projects could reuse quote review and wallet-handoff implementation.","info@bytez3.com; https://www.bytez3.com/contact","Steven Isaac; founder","HIGH","Complement EVM/Solana client delivery with a scoped wallet-handoff and review workflow; confirm mobile/network compatibility first.","RESEARCHED","","Verify legal entity/contact permissions and an active project before outreach","2026-09-24"
"P03","Pixelfield","https://pixelfield.co.uk/blockchain/","UK","Product agency","Wallet and exchange application development","Offer a scoped branded swap workflow to complement custom wallet builds.","info@pixelfield.co.uk; https://pixelfield.co.uk/contact/","Business development team","HIGH","Offer a branded non-custodial swap component for wallet clients, not a complete exchange.","RESEARCHED","","Verify legal entity/contact permissions and an active project before outreach","2026-09-24"
"P04","Digisol","https://www.digisol.agency/","Not verified","Web3 studio","Crypto wallets; DeFi and Web3 frontend engineering","Reuse frontend-to-provider review states in repeated client delivery.","sales@digisol.agency","Alex; CBDO (surname not published in inspected page)","HIGH","Reduce repeated quote/review-state implementation in their wallet and DeFi frontend projects.","RESEARCHED","","Verify legal entity/contact permissions and an active project before outreach","2026-09-24"
"P05","CryptoHub Agency","https://cryptohub.agency/services/dapp-development","Not verified","dApp agency","React/Next.js dApps and mobile WalletConnect flows","Direct overlap with wallet edge cases and transaction-state UX.","info@cryptohub.agency","Business development team","HIGH","Demonstrate existing mobile WalletConnect and transaction-state UX for a Next.js client project.","RESEARCHED","","Verify legal entity/contact permissions and an active project before outreach","2026-09-24"
"P06","Tomnitive","https://www.tomnitive.com/","Not verified","Product studio","DeFi and wallet experiences","Small-studio fit review for a reusable transaction-review foundation.","Website enquiry channel","Khalil Ahmed; founder","HIGH","Ask whether a reusable review/activity foundation fits an upcoming DeFi or wallet engagement.","RESEARCHED","","Verify legal entity/contact permissions and an active project before outreach","2026-09-24"
"P07","MagnusMage","https://magnusmage.com/services/web3","Not verified","Web3 agency","dApps/DeFi and CreataChain wallet work","Branded integration could supplement wallet project delivery.","Website contact form","Not identified","HIGH","Show a branded swap workflow alongside their existing wallet delivery; verify chain scope.","RESEARCHED","","Verify legal entity/contact permissions and an active project before outreach","2026-09-24"
"P08","AproveiTech","https://aprovei.tech/services","Not verified","Web3 agency","Non-custodial wallets; DeFi and white-label services","Discuss reuse within separately licensed client deployments.","hello@aprovei.tech","Not identified","HIGH","Explore separately licensed deployments within their non-custodial wallet and white-label work.","RESEARCHED","","Verify legal entity/contact permissions and an active project before outreach","2026-09-24"
"P09","Linum Labs","https://www.linumlabs.com/","Not verified","Web3 engineering studio","Web3 design/engineering and wallet-related product work","Partner fit for an existing swap UX plus alerts and operations.","Website Contact Us link","Not identified","HIGH","Partner on a wallet-facing swap experience with alerts and operational controls.","RESEARCHED","","Verify legal entity/contact permissions and an active project before outreach","2026-09-24"
"P10","LimeChain","https://limechain.tech/","Not verified","Blockchain engineering","Wallet development/integration and dApp engineering","Specific wallet signing and failure UX makes workflow reuse relevant.","Website contact form","Not identified","HIGH","Focus on signing, rejection and failure-state handling that wallet clients would otherwise rebuild.","RESEARCHED","","Verify legal entity/contact permissions and an active project before outreach","2026-09-24"
"P11","INC4","https://inc4.net/","Not verified","Web3 engineering studio","DeFi and smart-contract product engineering","Offer app-layer swap workflow rather than a replacement protocol.","hello@inc4.net","Not identified","HIGH","Offer the application workflow around their DeFi protocol work; do not claim to replace smart-contract expertise.","RESEARCHED","","Verify legal entity/contact permissions and an active project before outreach","2026-09-24"
"P12","4soft","https://www.4soft.co/","Poland","Blockchain software house","Colony DeFi development case study","Reusable route comparison/review can complement bespoke protocol work.","sales@4soft.co","Sales team","HIGH","Compare reusable route review and activity states with their bespoke DeFi client requirements.","RESEARCHED","","Verify legal entity/contact permissions and an active project before outreach","2026-09-24"
"P13","EvaCodes","https://evacodes.com/","Not verified","Web3 agency","DeFi wallet and Solana DeFi development services","Scope a client-branded application around supported integrations.","Website business enquiry link","Not identified","HIGH","Scope a branded app layer for supported integrations in a DeFi wallet client build.","RESEARCHED","","Verify legal entity/contact permissions and an active project before outreach","2026-09-24"
"P14","Blaize","https://blaize.tech/","Not verified","Web3 engineering","Crypto wallets; dApps and cross-chain solutions","Separate app-layer integration offer for their wallet customers.","info@blaize.tech","Business development team","HIGH","Complement their cross-chain engineering with a separately deployed review/history experience.","RESEARCHED","","Verify legal entity/contact permissions and an active project before outreach","2026-09-24"
"P15","Rather Labs","https://ratherlabs.com/services/blockchain-development","Not verified","Web3 studio","DeFi and blockchain application engineering","Demonstrate a reusable review and tracking workflow for client builds.","contact@ratherlabs.com","Not identified","HIGH","Ask about reuse of review and tracking states in a current blockchain client project.","RESEARCHED","","Verify legal entity/contact permissions and an active project before outreach","2026-09-24"
"P16","ND Labs","https://ndlabs.dev/defi-wallet","Not verified","Wallet engineering","Adds swaps and bridges to existing wallets; white-label foundations","Strong solution overlap; test licensing appetite instead of assuming missing capabilities.","Contact form on evidence page","Not identified","HIGH","Compare licensing versus their own white-label foundation; acknowledge existing swap/bridge capability.","RESEARCHED","","Verify legal entity/contact permissions and an active project before outreach","2026-09-24"
"P17","MetaLamp","https://metalamp.io/blockchain.md","Not verified","Web3 studio","Gearbox frontend and Base DEX application work","Reusable front-to-back workflow for future client projects; already has swap expertise.","https://metalamp.io/services; project form","Yana; partnership manager","HIGH","Offer optional application reuse for future clients; acknowledge their existing DEX frontend expertise.","RESEARCHED","","Verify legal entity/contact permissions and an active project before outreach","2026-09-24"
"P18","RedDuck","https://redduck.io/","Cyprus; Ukraine offices","Blockchain engineering","Wallet and DeFi development services","Offer scoped non-exclusive app-layer reuse to a specialist engineering team.","contact@redduck.io","Mark Virchenko; CEO","HIGH","Explore a narrow non-exclusive application licence alongside their specialist wallet engineering.","RESEARCHED","","Verify legal entity/contact permissions and an active project before outreach","2026-09-24"
"P19","Codezeros","https://www.codezeros.com/","India","Blockchain consultancy","Wallet; dApp; DEX and cross-chain development","Branded review and alert workflow as an optional client-project component.","hello@codezeros.com","Not identified","HIGH","Show branded review and alert screens as an optional component of a wallet/dApp client build.","RESEARCHED","","Verify legal entity/contact permissions and an active project before outreach","2026-09-24"
"P20","Labrys","https://labrys.io/services-blockchain/defi-protocols","Australia","Blockchain product studio","NZDD DEX integration and wallet/dApp compatibility","Swap experience handoff could complement their protocol integration work.","https://labrys.io/contact","Not identified","HIGH","Complement protocol/DEX integration with wallet-to-review application states; confirm supported routes.","RESEARCHED","","Verify legal entity/contact permissions and an active project before outreach","2026-09-24"
"P21","Exaud","https://exaud.com/technologies/blockchain","Portugal","Software engineering","Wellfield DeFi development partnership","Explore app-layer reuse alongside their DeFi integration engineering.","hello@exaud.com","Business development team","MEDIUM","Explore application-layer reuse alongside their documented DeFi partnership.","RESEARCHED","","Verify legal entity/contact permissions and an active project before outreach","2026-09-24"
"P22","IdeaSoft","https://ideasoft.io/","Not verified","Web3 engineering","Asymetrix DeFi protocol and digital-asset platforms","Offer a narrow application-layer pilot; not their enterprise platform replacement.","hello@ideasoft.io","Not identified","MEDIUM","Offer a small application pilot rather than replacing their enterprise digital-asset platform.","RESEARCHED","","Verify legal entity/contact permissions and an active project before outreach","2026-09-24"
"P23","Applied Blockchain","https://www.appliedblockchain.com/","UK; Portugal offices","Blockchain engineering","Giano embedded wallet; privacy-wallet infrastructure","Potential complementary external-wallet swap workflow; embedded integration needs scoping.","Website Contact link","Not identified","MEDIUM","Ask whether external-wallet review flows complement their embedded-wallet work; scope any adapter separately.","RESEARCHED","","Verify legal entity/contact permissions and an active project before outreach","2026-09-24"
"P24","Boosty Labs","https://boostylabs.com/","Not verified","Web3 engineering","DeFi wallet development and fintech products","Compare existing reusable app screens to upcoming client requirements.","https://boostylabs.com/consultancy; enquiry form","Not identified","MEDIUM","Compare quote, review and history screens with an upcoming DeFi wallet brief.","RESEARCHED","","Verify legal entity/contact permissions and an active project before outreach","2026-09-24"
"P25","Unicsoft","https://unicsoft.com/blockchain-development-services/","Cyprus; US; Singapore offices","Web3 engineering","EVM wallet customization and white-label work","Possible integration partner; existing wallet framework means differentiation must be proved.","https://unicsoft.com/contact/","Miguel Simoes; Web3 business development","MEDIUM","Identify a gap relative to their existing wallet framework before proposing any licence.","RESEARCHED","","Verify legal entity/contact permissions and an active project before outreach","2026-09-24"
"P26","Cheesecake Labs","https://cheesecakelabs.com/services/blockchain","Not verified","Product engineering","Non-custodial wallet; DeFi and Vesseo wallet work","Pitch reusable workflow for supported EVM routes, not unsupported Stellar delivery.","https://cheesecakelabs.com/contact/","Business development team","MEDIUM","Offer supported EVM application workflows only; do not imply Stellar support.","RESEARCHED","","Verify legal entity/contact permissions and an active project before outreach","2026-09-24"
"P27","openGeeksLab","https://blockchain.opengeekslab.com/","Sweden (listed office)","Blockchain agency","Wallet; browser extension and DEX projects","Client workflow reuse is relevant; reconfirm availability because main site is under construction.","info@opengeekslab.com","Not identified","MEDIUM","Confirm the team is active, then discuss wallet/DEX application reuse.","RESEARCHED","","Verify legal entity/contact permissions and an active project before outreach","2026-09-24"
"P28","4IRE","https://4irelabs.com/","Sweden; Estonia offices","Fintech engineering","Crypto wallets; DeFi and white-label banking","Existing product overlap; offer only a narrowly scoped non-custodial integration.","Website consultation form","Not identified","MEDIUM","Offer a narrow non-custodial workflow; exclude white-label banking and custody from our scope.","RESEARCHED","","Verify legal entity/contact permissions and an active project before outreach","2026-09-24"
"P29","Peiko","https://peiko.space/service/decentralized-exchange-development-services","Not verified","Blockchain agency","Wallet integration and token swaps for existing products","Discuss licensing app UX rather than rebuilding execution/review states.","hello@peiko.space","Business development team","HIGH","Demonstrate reusable swap review for existing wallet integrations.","RESEARCHED","","Verify legal entity/contact permissions and an active project before outreach","2026-09-24"
"P30","PixelPlex","https://pixelplex.io/services/web3-development-company/","Not verified","Web3 engineering","Wallets; dApps and protocol integrations","Potential branded application component for future client projects.","Contact our team link on evidence page","Not identified","MEDIUM","Explore a branded application component for a future wallet/protocol client project.","RESEARCHED","","Verify legal entity/contact permissions and an active project before outreach","2026-09-24"
"P31","Rock'n'Block","https://rocknblock.io/","Not verified","Web3 studio","Squirrel Wallet provider-agnostic swap rails and SwapX DEX","Strong technical overlap; ask whether reusable app workflow fits a new project, not claim it lacks swaps.","Website contact section","Not identified","HIGH","Acknowledge Squirrel Wallet and SwapX experience; ask whether another client could use a licensed app foundation.","RESEARCHED","","Verify legal entity/contact permissions and an active project before outreach","2026-09-24"
"P32","SFXDX","https://sfxdx.com/","Not verified","Digital-asset engineering","Blockchain and digital-asset systems","Scoped app-layer integration fit review; delivery model needs confirmation.","hello@sfxdx.com","Not identified","MEDIUM","Validate whether app-layer quote/review reuse fits a digital-asset engagement.","RESEARCHED","","Verify legal entity/contact permissions and an active project before outreach","2026-09-24"
"P33","Synodus","https://synodus.com/services/blockchain/","Vietnam","Software engineering","Blockchain and digital-wallet projects","Reusable swap journey as part of an existing wallet client engagement.","Contact us link on evidence page","Not identified","MEDIUM","Offer a scoped swap journey inside a wallet client project.","RESEARCHED","","Verify legal entity/contact permissions and an active project before outreach","2026-09-24"
"P34","Debut Infotech","https://www.debutinfotech.com/web3-wallet-development-company","Not verified","Wallet development agency","Biso Digital Web3 wallet and DeFi integrations","Potential partner for branded swap implementation; already supplies custom wallet services.","Website project enquiry channel","Not identified","MEDIUM","Discuss optional application licensing alongside their custom Web3 wallet services.","RESEARCHED","","Verify legal entity/contact permissions and an active project before outreach","2026-09-24"
"P35","Technoloader","https://www.technoloader.com/cryptocurrency-wallet-development","Not verified","Blockchain agency","Crypto wallet development","App workflow licensing can complement a scoped wallet engagement.","info@technoloader.com; https://www.technoloader.com/company","Not identified","MEDIUM","Compare licensing existing swap screens with a concrete wallet engagement.","RESEARCHED","","Verify legal entity/contact permissions and an active project before outreach","2026-09-24"
"P36","Moon Technolabs","https://www.moontechnolabs.com/services/cryptocurrency-wallet-app-development/","Not verified","Software agency","Cryptocurrency wallet application development","Compare prebuilt quote/review/history work against current wallet client scope.","sales@moontechnolabs.com","Sales team","MEDIUM","Show quote/review/history reuse for a wallet-app client brief.","RESEARCHED","","Verify legal entity/contact permissions and an active project before outreach","2026-09-24"
